year,Thai,Foreigner
2009,2875224,2774671
2010,4555588,5506698
2011,4536581,6286788
2012,4430332,6794065
2013,4520383,7216105
2014,4367710,6475702
2015,4784716,6957508
2016,7615058,8636951
2017,8131144,9272017
